B;C;D;E;F;G;H;I;J;K;L;M;N
TIME DAYY;DATE;MONTH;YEAR;DAY;DISTRICT;TYPES_OF_CAUSES;ALERT LEVEL;AMOUNT_DAMAGE;TEMPERATURE;TYPE_OF_ESTABLIHMENT;LATITUDE;LONGITUDE
4PM;41078;JUNE;2012;Monday;Santa Cruz;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;29;Residential;14.622622;120.983644
6PM;41078;JUNE;2012;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Vehicle;14.60349;120.983545
9AM;41079;JUNE;2012;Tuesday;Paco;Electrical connection;1st Alarm;200.00;30;Electrical;14.47261;121.025605
11AM;41080;JUNE;2012;Wednesday;Quiapo;Cigarette Butt;1st Alarm;200.00;30;Rubbish;14.599512;120.98422
7PM;41080;JUNE;2012;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;30;Electrical;14.611272;120.986216
9AM;41081;JUNE;2012;Thursday;Santa Cruz;Electrical connection;1st Alarm;300,000.00;30;Vehicle;14.619374;120.980971
2PM;41081;JUNE;2012;Thursday;Sampaloc;Under Investigation;4th Alarm;300,000.00;30;Residential;14.607054;120.98811
11PM;41082;JUNE;2012;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Electrical;14.623465;120.989125
8AM;41083;JUNE;2012;Saturday;Santa Cruz;Cigarette Butt;1st Alarm;200.0;30;Rubbish;14.618575;120.987386
1AM;41084;JUNE;2012;Sunday;Santa Ana;Electrical connection;1st Alarm;200.00;30;Electrical;14.576313;121.008768
4PM;41084;JUNE;2012;Sunday;Santa Ana;Electrical connection;1st Alarm;200.00;30;Electrical;14.472234;121.027931
7PM;41084;JUNE;2012;Sunday;Tondo;Electrical connection;1st Alarm;200.00;30;Electrical;14.607985;120.966583
12PM;41085;JUNE;2012;Monday;Tondo;Cigarette Butt;1st Alarm;3,000.00;28;Residential;14.600383;120.999145
8PM;41085;JUNE;2012;Monday;Tondo;Under Investigation;4th Alarm;2,500.000.00;28;Residential;14.605448;120.967855
5PM;41088;JUNE;2012;Thursday;Pandacan;Under Investigation;3rd Alarm;40,000.00;27;Residential;14.56783;120.990871
2PM;41089;JUNE;2012;Friday;Sampaloc;Under Investigation;4th Alarm;200,000.00;28;ReCom;14.602908;120.99083
3PM;41090;JUNE;2012;Saturday;Binondo;Electrical connection;1st Alarm;200.00;30;Electrical;14.601199;120.972308
6PM;41090;JUNE;2012;Saturday;Santa Cruz;Electrical connection;1st Alarm;200.00;30;Electrical;14.616251;120.986831
10PM;41091;JULY;2012;Sunday;Santa Cruz;Electrical connection;1st Alarm;5,000.00;28;;14.627813;120.989409
6AM;41092;JULY;2012;Monday;Paco;Electrical connection;1st Alarm;200.00;28;Electrical;14.681716;120.974544
8PM;41096;JULY;2012;Friday;Pandacan;Electrical connection;1st Alarm;200.00;26;Electrical;14.580842;121.004756
12PM;41097;JULY;2012;Saturday;Tondo;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;3,000.00;28;Residential;14.597746;120.967455
11AM;41098;JULY;2012;Sunday;Sampaloc;Electrical connection;1st Alarm;200.00;30;Electrical;14.610556;120.998333
8PM;41098;JULY;2012;Sunday;Santa Ana;Matchstick and Lighter;1st Alarm;9,000.00;30;Residential;14.472234;121.027931
8PM;41098;JULY;2012;Sunday;Santa Cruz;Electrical connection;1st Alarm;200,00;30;Electrical;14.599;120.9804
9PM;41098;JULY;2012;Sunday;Tondo;Electrical connection;1st Alarm;200.00;30;Electrical;14.61226;120.975266
12PM;41099;JULY;2012;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Electrical;14.589567;121.01886
4PM;41100;JULY;2012;Tuesday;Ermita;Electrical connection;1st Alarm;200.00;28;Electrical;14.585494;120.983441
12PM;41101;JULY;2012;Wednesday;Intramuros;Cigarette Butt;1st Alarm;200.00;29;Rubbish;14.580597;120.988461
10PM;41101;JULY;2012;Wednesday;Pandacan;Electrical connection;1st Alarm;200.00;29;Electrical;14.58466;120.999809
2AM;41102;JULY;2012;Thursday;Tondo;Under Investigation;1st Alarm;5,000.00;29;Residential;14.620565;120.965967
2AM;41102;JULY;2012;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Electrical;14.600837;120.992603
2AM;41103;JULY;2012;Friday;Sampaloc;Candle;3rd Alarm;100,000.00;29;;14.598368;121.000671
8AM;41103;JULY;2012;Friday;Sampaloc;Candle;1st Alarm;200.00;;Residential;14.615046;120.996404
1PM;41103;JULY;2012;Friday;Santa Ana;Other;1st Alarm;1,000.00;29;Vehicle;14.472234;121.027931
9PM;41103;JULY;2012;Friday;Sampaloc;Cigarette Butt;1st Alarm;200.00;29;Rubbish;14.605937;120.993212
2PM;41105;JULY;2012;Sunday;San Miguel;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;29;Residential;14.595383;120.992651
7PM;41105;JULY;2012;Sunday;Quiapo;Electrical connection;1st Alarm;200.00;29;Electrical;14.599512;120.98422
7AM;41107;JULY;2012;Tuesday;Quiapo;Electrical connection;1st Alarm;200.00;30;Electrical;14.60349;120.983545
8PM;41107;JULY;2012;Tuesday;Pandacan;Electrical connection;1st Alarm;200.00;30;Electrical;14.584103;121.005251
7AM;41109;JULY;2012;Thursday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;28;Residential;14.610556;120.998333
12PM;41109;JULY;2012;Thursday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;5th Alarm;500,000.00;29;Residential;14.601989;120.997777
11PM;41110;JULY;2012;Friday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.620548;120.974475
10PM;41111;JULY;2012;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;24;Electrical;14.60311;120.996293
10PM;41111;JULY;2012;Saturday;Paco;Electrical connection;1st Alarm;200.00;24;Electrical;14.581079;121.001608
1PM;41113;JULY;2012;Monday;Santa Ana;Electrical connection;1st Alarm;200.00;29;Electrical;14.581565;121.01345
6PM;41113;JULY;2012;Monday;Ermita;Electrical connection;1st Alarm;200.0;29;Electrical;14.576489;120.988073
10AM;41114;JULY;2012;Tuesday;Paco;Candle;1st Alarm;200.00;29;Residential;14.579039;120.999215
12PM;41114;JULY;2012;Tuesday;Santa Cruz;Electrical connection;1st Alarm;5,000.00;29;Vehicle;14.616954;120.984255
2PM;41114;JULY;2012;Tuesday;Ermita;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;29;unclear;14.589229;120.982242
4PM;41114;JULY;2012;Tuesday;Malate;Under Investigation;2nd Alarm;20,000.00;29;Electrical;14.57527;120.981279
12PM;41115;JULY;2012;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.575019;121.00011
12AM;41116;JULY;2012;Thursday;Malate;Electrical connection;1st Alarm;200.00;28;Vehicle;14.599512;120.98422
10AM;41116;JULY;2012;Thursday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.619361;120.968281
1PM;41116;JULY;2012;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Vehicle;14.605583;120.999041
7PM;41116;JULY;2012;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Electrical;14.610556;120.998333
5PM;41117;JULY;2012;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;28;Electrical;14.610919;120.98313
11PM;41117;JULY;2012;Friday;Paco;Electrical connection;1st Alarm;200.00;28;Electrical;14.577102;121.000236
3AM;41118;JULY;2012;Saturday;Ermita;Open flame;3rd Alarm;50,000.00;27;;14.570978;120.981952
12AM;41120;JULY;2012;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.598184;121.00384
3AM;41120;JULY;2012;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.604546;121.002686
8AM;41120;JULY;2012;Monday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.635378;120.975255
7PM;41120;JULY;2012;Monday;Malate;Electrical connection;1st Alarm;200.00;26;Electrical;14.570199;120.991585
5PM;41121;JULY;2012;Tuesday;Tondo;Candle;1st Alarm;200.00;28;Residential;14.620565;120.965967
5AM;41122;AUGUST;2012;Wednesday;Santa Ana;Electrical connection;1st Alarm;200.00;27;Electrical;14.572971;120.999596
3PM;41122;AUGUST;2012;Wednesday;Santa Ana;Electrical connection;1st Alarm;200.00;27;Electrical;14.584252;121.015097
9PM;41122;AUGUST;2012;Wednesday;Ermita;Electrical Appliances (kettle, stove, ref, flat iron) (except fan);1st Alarm;3,000;27;;14.574675;120.989018
9PM;41123;AUGUST;2012;Thursday;Pandacan;Electrical connection;1st Alarm;3,000.00;28;Electrical;14.590788;121.011428
9PM;41123;AUGUST;2012;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Electrical;14.599512;120.98422
10PM;41123;AUGUST;2012;Thursday;Malate;Electrical connection;1st Alarm;200.00;28;Electrical;14.562685;120.995404
11PM;41123;AUGUST;2012;Thursday;Santa Ana;Electrical connection;1st Alarm;200.00;28;Electrical;14.572668;121.005058
8PM;41124;AUGUST;2012;Friday;Sampaloc;Cigarette Butt;1st Alarm;200.00;27;Grass fire;14.612198;120.996818
10AM;41126;AUGUST;2012;Sunday;Santa Cruz;Cigarette Butt;1st Alarm;200.00;27;Rubbish;14.602613;120.980756
12PM;41126;AUGUST;2012;Sunday;Malate;Electrical connection;1st Alarm;200.00;27;Electrical;14.570441;120.986485
4AM;41127;AUGUST;2012;Monday;Santa Cruz;Electrical connection;2nd Alarm;200,000.00;25;ReCom;14.602503;120.980733
7AM;41128;AUGUST;2012;Tuesday;Sampaloc;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;24;Residential;14.613556;120.995869
9PM;41128;AUGUST;2012;Tuesday;Santa Ana;Electrical connection;1st Alarm;200.00;24;Residential;14.472234;121.027931
11AM;41129;AUGUST;2012;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.61203;120.983389
12PM;41129;AUGUST;2012;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;25;Electrical;14.608656;120.981971
12PM;41129;AUGUST;2012;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;25;Electrical;14.614227;120.984539
1PM;41129;AUGUST;2012;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;25;Electrical;14.614261;120.984056
3PM;41129;AUGUST;2012;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.600486;121.001696
7PM;41129;AUGUST;2012;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.603095;120.996232
9PM;41129;AUGUST;2012;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;25;Electrical;14.609583;120.992803
7PM;41130;AUGUST;2012;Thursday;Santa Cruz;Air-conditioned Fire/Air-cooler/Fan;3rd Alarm;50,000.00;27;Residential;14.599;120.9804
10PM;41130;AUGUST;2012;Thursday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.701071;120.960231
2PM;41131;AUGUST;2012;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Electrical;14.600117;121.016777
4PM;41131;AUGUST;2012;Friday;Santa Ana;Candle;1st Alarm;200.00;29;Residential;14.584252;121.015097
10PM;41131;AUGUST;2012;Friday;Sampaloc;Candle;1st Alarm;200.00;29;Residential;14.600117;121.016777
8PM;41132;AUGUST;2012;Saturday;Santa Cruz;Electrical connection;1st Alarm;200.00;28;Electrical;14.619331;120.982334
10PM;41132;AUGUST;2012;Saturday;Tondo;Candle;3rd Alarm;200.00;28;Electrical;14.609043;120.963143
8AM;41132;AUGUST;2012;Saturday;Quiapo;Electrical connection;1st Alarm;200.00;28;Electrical;14.60549;120.98833
8PM;41133;AUGUST;2012;Sunday;Malate;Electrical connection;1st Alarm;200.0;28;Electrical;14.572668;121.005058
11AM;41137;AUGUST;2012;Thursday;Tondo;Electrical connection;1st Alarm;200.00;26;Electrical;14.620565;120.965967
6PM;41138;AUGUST;2012;Friday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Electrical;14.619312;120.98335
8PM;41138;AUGUST;2012;Friday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Electrical;14.610556;120.998333
3PM;41139;AUGUST;2012;Saturday;Santa Ana;Under Investigation;1st Alarm;50,000.00;28;ReCom;14.584496;121.006359
2PM;41140;AUGUST;2012;Sunday;Sampaloc;Candle;1st Alarm;200.00;28;Residential;14.60162;121.00507
6PM;41140;AUGUST;2012;Sunday;Pandacan;Electrical connection;1st Alarm;200.00;28;Electrical;14.590788;121.011428
11PM;41141;AUGUST;2012;Monday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Electrical;14.605902;120.994262
10AM;41143;AUGUST;2012;Wednesday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Electrical;14.622622;120.983644
11AM;41143;AUGUST;2012;Wednesday;Tondo;Under Investigation;5th Alarm;2,000,000.00;29;Residential;14.61288;120.974937
9AM;41147;AUGUST;2012;Sunday;Santa Ana;Electrical connection;1st Alarm;200.00;29;Electrical;14.597746;120.967455
8PM;41147;AUGUST;2012;Sunday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Electrical;14.619162;120.983087
9AM;41148;AUGUST;2012;Monday;Tondo;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;200.00;29;Residential;14.620565;120.965967
7PM;41148;AUGUST;2012;Monday;Santa Cruz;Electrical connection;1st Alarm;200.00;29;Electrical;14.569018;120.987722
12PM;41155;SEPTEMBER;2012;Monday;Tondo;Electrical connection;1st Alarm;200.00;28;Commercial;14.508521;121.054866
3PM;41155;SEPTEMBER;2012;Monday;Sampaloc;Chimney Fire;1st Alarm;200.00;28;Residential;14.589567;121.01886
8AM;41156;SEPTEMBER;2012;Tuesday;Ermita;Electrical connection;1st Alarm;5,000.00;28;Residential;14.579159;121.003136
12AM;41156;SEPTEMBER;2012;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Electrical;14.611801;120.989905
12AM;41157;SEPTEMBER;2012;Wednesday;Tondo;Electrical connection;1st Alarm;200.00;27;Commercial;14.606536;120.970975
10AM;41157;SEPTEMBER;2012;Wednesday;Santa Cruz;Christmas light;1st Alarm;200.00;27;Residential;14.630601;120.981429
3PM;41158;SEPTEMBER;2012;Thursday;Sampaloc;Under Investigation;4th Alarm;300,000.00;28;ReCom;14.601138;121.006021
4PM;41158;SEPTEMBER;2012;Thursday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Electrical;14.603095;120.996232
3PM;41160;SEPTEMBER;2012;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Vehicle;14.610707;120.993654
4PM;41160;SEPTEMBER;2012;Saturday;Tondo;Electrical connection;1st Alarm;200.00;29;Residential;14.630617;120.979361
10PM;41160;SEPTEMBER;2012;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Commercial;14.603613;120.99936
1AM;41161;SEPTEMBER;2012;Sunday;Sampaloc;Other;1st Alarm;200.00;29;Electrical;14.618275;120.988068
6PM;41161;SEPTEMBER;2012;Sunday;Santa Cruz;Candle;1st Alarm;200.00;29;Electrical;14.618275;120.988068
7PM;41162;SEPTEMBER;2012;Monday;Quiapo;Electrical connection;1st Alarm;200.00;28;Electrical;14.600866;120.982049
7PM;41165;SEPTEMBER;2012;Thursday;Santa Ana;Electrical connection;1st Alarm;1,000.00;28;Electrical;14.576632;121.006808
9PM;41166;SEPTEMBER;2012;Friday;Pandacan;Electrical connection;1st Alarm;5,000.00;26;Residential;14.584103;121.005251
5AM;41167;SEPTEMBER;2012;Saturday;Pandacan;Electrical connection;1st Alarm;200.00;26;Electrical;14.573891;121.003776
2AM;41168;SEPTEMBER;2012;Sunday;Paco;Open flame;1st Alarm;200.00;25;Electrical;14.58;121.012
3PM;41168;SEPTEMBER;2012;Sunday;Santa Ana;Candle;1st Alarm;200.00;25;Electrical;14.586074;120.982515
6PM;41168;SEPTEMBER;2012;Sunday;Ermita;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;500.00;25;Electrical;14.619626;120.986193
9PM;41168;SEPTEMBER;2012;Sunday;Santa Cruz;Electrical connection;1st Alarm;1,000.00;25;Electrical;14.574591;121.009241
9PM;41168;SEPTEMBER;2012;Sunday;Ermita;Air-conditioned Fire/Air-cooler/Fan;1st Alarm;8,000.00;25;Residential;14.586074;120.982515
10AM;41169;SEPTEMBER;2012;Monday;Ermita;Electrical connection;1st Alarm;200.00;29;unclear;14.588761;121.006091
10PM;41169;SEPTEMBER;2012;Monday;Pandacan;Electrical connection;1st Alarm;200.00;29;Electrical;14.647371;121.072066
11PM;41169;SEPTEMBER;2012;Monday;Port Area;Electrical connection;1st Alarm;200.00;29;Electrical;14.589567;121.01886
8AM;41170;SEPTEMBER;2012;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Residential;14.598739;120.987183
7PM;41170;SEPTEMBER;2012;Tuesday;Quiapo;Chimney Fire;1st Alarm;200.00;26;Electrical;14.610556;120.998333
6PM;41171;SEPTEMBER;2012;Wednesday;Sampaloc;Electrical connection;1st Alarm;5,000.00;28;Electrical;14.609289;120.996902
8PM;41171;SEPTEMBER;2012;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Residential;14.572817;120.991142
11AM;41172;SEPTEMBER;2012;Thursday;Malate;Electrical connection;1st Alarm;200.00;28;Commercial;14.609067;120.966031
1AM;41174;SEPTEMBER;2012;Saturday;Tondo;Christmas light;1st Alarm;200.00;28;unclear;14.605937;120.993212
1AM;41174;SEPTEMBER;2012;Saturday;Sampaloc;Under Investigation;4th Alarm;300,000.00;28;Electrical;14.574199;120.986019
3AM;41174;SEPTEMBER;2012;Saturday;Malate;Electrical connection;1st Alarm;200.00;28;unclear;14.618575;120.987386
10AM;41174;SEPTEMBER;2012;Saturday;Santa Cruz;Electrical connection;1st Alarm;200.00;28;Electrical;14.589771;120.981456
9AM;41179;SEPTEMBER;2012;Thursday;Ermita;Electrical connection;1st Alarm;200.00;31;unclear;14.592416;121.012839
4PM;41179;SEPTEMBER;2012;Thursday;Pandacan;Other;1st Alarm;200.00;31;Electrical;14.653144;120.975082
10PM;41179;SEPTEMBER;2012;Thursday;Santa Cruz;Other;1st Alarm;200.00;31;Electrical;14.601239;121.011933
1PM;41180;SEPTEMBER;2012;Friday;Santa Mesa;Candle;1st Alarm;200.00;21;Residential;14.592631;120.989452
8PM;41181;SEPTEMBER;2012;Saturday;San Miguel;Electrical connection;1st Alarm;200.00;28;Electrical;14.595383;120.992651
9AM;41183;OCTOBER;2012;Monday;Paco;Electrical connection;1st Alarm;200.00;28;Vehicle;14.573891;121.003776
8AM;41184;OCTOBER;2012;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.589567;121.01886
5PM;41184;OCTOBER;2012;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;26;Electrical;14.60818;120.99129
12PM;41186;OCTOBER;2012;Thursday;Quiapo;Electrical connection;1st Alarm;200.00;27;Electrical;14.593112;120.986498
9PM;41186;OCTOBER;2012;Thursday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.605638;120.964352
6AM;41187;OCTOBER;2012;Friday;Tondo;Electrical connection;1st Alarm;200.00;27;Electrical;14.635378;120.975255
1PM;41187;OCTOBER;2012;Friday;Tondo;Welding;1st Alarm;2,000.00;27;unclear;14.620565;120.965967
9PM;41187;OCTOBER;2012;Friday;Malate;Electrical connection;1st Alarm;200.00;27;Electrical;14.562664;120.995203
7AM;41187;OCTOBER;2012;Friday;Paco;Other;1st Alarm;5,000.00;27;unclear;14.584027;120.989519
11PM;41188;OCTOBER;2012;Saturday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.617291;120.973926
10AM;41189;OCTOBER;2012;Sunday;Tondo;Electrical connection;1st Alarm;200.00;28;Electrical;14.575786;121.009949
6PM;41189;OCTOBER;2012;Sunday;Paco;Electrical connection;1st Alarm;200.00;28;Electrical;14.585454;120.993855
5AM;41190;OCTOBER;2012;Monday;Santa Ana;Electrical connection;1st Alarm;200.00;28;Electrical;14.585767;121.019054
8AM;41190;OCTOBER;2012;Monday;Tondo;Under Investigation;3rd Alarm;100,000.00;28;Residential;14.620565;120.965967
12PM;41190;OCTOBER;2012;Monday;Quiapo;Under Investigation;5th Alarm;2,000,000.00;28;ReCom;14.599641;120.985378
12AM;41191;OCTOBER;2012;Tuesday;Paco;Electrical connection;1st Alarm;200.00;28;Electrical;14.585454;120.993855
2AM;41194;OCTOBER;2012;Friday;Paco;Electrical connection;1st Alarm;200.00;28;Electrical;14.569749;120.997001
2PM;41195;OCTOBER;2012;Saturday;Pandacan;Electrical connection;1st Alarm;200.00;27;Electrical;14.584103;121.005251
10AM;41196;OCTOBER;2012;Sunday;Binondo;Under Investigation;2nd Alarm;20,000.00;28;ReCom;14.601464;120.968453
3PM;41196;OCTOBER;2012;Sunday;Pandacan;Air-conditioned Fire/Air-cooler/Fan;4th Alarm;300,000.00;28;Residential;14.59105;121.008068
3PM;41197;OCTOBER;2012;Monday;Ermita;Electrical connection;1st Alarm;200.00;28;Vehicle;14.599512;120.98422
6PM;41198;OCTOBER;2012;Tuesday;Tondo;Electrical connection;1st Alarm;200.00;29;Vehicle;14.620565;120.965967
10AM;41200;OCTOBER;2012;Thursday;Ermita;Electrical connection;1st Alarm;200.00;28;Electrical;14.473919;121.031851
2PM;41201;OCTOBER;2012;Friday;Santa Cruz;Candle;1st Alarm;200.00;28;Residential;14.616657;120.982741
2AM;41202;OCTOBER;2012;Saturday;Pandacan;Electrical connection;1st Alarm;200.00;29;Electrical;14.584103;121.005251
1PM;41202;OCTOBER;2012;Saturday;Ermita;Electrical connection;1st Alarm;200.00;29;Electrical;14.599512;120.98422
9AM;41204;OCTOBER;2012;Monday;Santa Mesa;Cigarette Butt;1st Alarm;200.00;28;Rubbish;14.60162;121.00507
9AM;41204;OCTOBER;2012;Monday;Sampaloc;LPG Leak, Gas, Keresone, Charcoal Stove;1st Alarm;200.00;28;Residential;14.607127;120.992371
7PM;41204;OCTOBER;2012;Monday;Pandacan;Electrical connection;1st Alarm;200.00;28;Electrical;14.580842;121.004756
3PM;41205;OCTOBER;2012;Tuesday;Ermita;Electrical connection;1st Alarm;20,000.00;29;Vehicle;14.533758;121.003373
6PM;41205;OCTOBER;2012;Tuesday;Sampaloc;Electrical connection;1st Alarm;200.00;29;Electrical;14.610556;120.998333
11AM;41206;OCTOBER;2012;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Vehicle;14.572131;121.018083
6PM;41206;OCTOBER;2012;Wednesday;Sampaloc;Electrical connection;1st Alarm;200.00;27;Electrical;14.603095;120.996232
10AM;41207;OCTOBER;2012;Thursday;Tondo;Electrical connection;1st Alarm;200.00;25;Electrical;14.620565;120.965967
5PM;41207;OCTOBER;2012;Thursday;Santa Ana;Electrical connection;1st Alarm;200.00;25;Electrical;14.472234;121.027931
11PM;41207;OCTOBER;2012;Thursday;Santa Ana;Electrical connection;1st Alarm;200.00;25;Electrical;14.572245;120.982739
10AM;41209;OCTOBER;2012;Saturday;Quiapo;Electrical connection;1st Alarm;200.00;28;Electrical;14.599512;120.98422
9PM;41209;OCTOBER;2012;Saturday;Sampaloc;Electrical connection;1st Alarm;200.00;28;Electrical;14.603613;120.99936
10PM;41211;OCTOBER;2012;Monday;Intramuros;Electrical connection;1st Alarm;1,000.00;28;unclear;14.589659;120.976886
