date,cause,temp,district
2PM 31-Jul-11,Electrical connection,24.25,Tondo
6PM 31-Jul-11,Other,24.25,Tondo
8PM 31-Jul-11,Air-conditioned Fire/Air-cooler/Fan,24.25,Sampaloc
12PM 2-Aug-11,Candle,25.75,Tondo
6PM 2-Aug-11,Electrical connection,25.75,Sampaloc
6AM 3-Aug-11,Electrical connection,26.25,Sampaloc
8AM 4-Aug-11,Under Investigation,29.25,Tondo
12PM 4-Aug-11,Electrical connection,29.25,Malate
12PM 5-Aug-11,Other,27.5,Tondo
10AM 6-Aug-11,Battery-related / Cellphone / Charger,26.5,Tondo
12AM 7-Aug-11,Spontaneous combustion,27,Sampaloc
12PM 7-Aug-11,Cigarette Butt,27,Malate
2PM 7-Aug-11,Candle,27,Binondo
4PM 7-Aug-11,Electrical connection,27,Tondo
8AM 8-Aug-11,Electrical connection,27.5,Sampaloc
4PM 10-Aug-11,Cigarette Butt,28.5,Santa Cruz
1AM 11-Aug-11,Electrical connection,28.5,Sampaloc
7PM 11-Aug-11,Electrical connection,28.5,San Miguel
7PM 11-Aug-11,Under Investigation,28.5,Tondo
8PM 11-Aug-11,Electrical connection,28.5,Tondo
12PM 12-Aug-11,Electrical connection,28.75,Sampaloc
8AM 14-Aug-11,Electrical connection,28.25,Binondo
5PM 14-Aug-11,Under Investigation,28.25,Santa Cruz
10PM 14-Aug-11,Other,28.25,Santa Cruz
5AM 16-Aug-11,Electrical connection,27,Santa Cruz
7PM 16-Aug-11,Electrical connection,27,Tondo
7PM 16-Aug-11,Electrical connection,27,Santa Ana
11AM 17-Aug-11,Electrical connection,27.75,Paco
5PM 18-Aug-11,Electrical connection,28.5,Quiapo
2PM 21-Aug-11,Electrical connection,28,San Nicolas
3AM 22-Aug-11,Electrical connection,28.25,San Nicolas
7AM 22-Aug-11,Electrical connection,28.25,Quiapo
5PM 22-Aug-11,Electrical connection,28.25,Santa Cruz
10PM 22-Aug-11,Electrical connection,28.25,Paco
11PM 22-Aug-11,Electrical connection,28.25,Santa Cruz
6PM 24-Aug-11,Electrical connection,28.25,Sampaloc
7PM 25-Aug-11,Electrical connection,27.5,Malate
2PM 28-Aug-11,Electrical connection,26.75,Paco
5PM 28-Aug-11,Electrical connection,26.75,Sampaloc
8PM 28-Aug-11,Electrical connection,26.75,Pandacan
5PM 29-Aug-11,Matress Fire,28,Sampaloc
5AM 4-Sep-11,Electrical connection,28,Santa Ana
11PM 4-Sep-11,Electrical connection,28,Sampaloc
2AM 6-Sep-11,"Electrical Appliances (kettle, stove, ref, flat iron) (except fan)",28.25,Sampaloc
12PM 7-Sep-11,"Electrical Appliances (kettle, stove, ref, flat iron) (except fan)",27.25,San Miguel
5PM 7-Sep-11,Electrical connection,27.25,Ermita
9PM 7-Sep-11,Under Investigation,27.25,Paco
4PM 8-Sep-11,Electrical connection,28.75,Santa Cruz
7PM 10-Sep-11,Electrical connection,26.75,Pandacan
10PM 10-Sep-11,Electrical connection,26.75,Santa Cruz
11PM 11-Sep-11,Open flame,27.75,Santa Cruz
5AM 12-Sep-11,Electrical connection,28.5,Port Area
10AM 12-Sep-11,Chimney Fire,28.5,Binondo
5PM 13-Sep-11,Electrical connection,28,Santa Ana
11AM 14-Sep-11,"Electrical Appliances (kettle, stove, ref, flat iron) (except fan)",29,Tondo
7PM 14-Sep-11,Electrical connection,29,Binondo
9AM 15-Sep-11,Electrical connection,31.75,San Miguel
11AM 15-Sep-11,Electrical connection,31.75,Sampaloc
2PM 15-Sep-11,Electrical connection,31.75,Ermita
